"Step","env_name: myoLegStairTerrainT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegStairTerrainT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegStairTerrainT2Apca-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegStairTerrainT2A-v0 - rollout/ep_rew_mean","env_name: myoLegStairTerrainT2A-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegStairTerrainT2A-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegStairTerrainWalk-v0 - rollout/ep_rew_mean","env_name: myoLegStairTerrainWalk-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegStairTerrainWalk-v0 - rollout/ep_rew_mean__MAX"
"167","160.00954666666667","158.56897","162.48605","164.49961","163.55782","166.19545","71.458772","69.64067","73.61665"
"180","169.26926666666665","167.03615","173.04037","171.38717999999997","166.58966","174.8007","77.98557466666666","74.572174","82.66324"
"193","180.16319","175.86928","185.17316","180.79395666666665","172.58585","186.243","85.13467333333334","81.92051","87.45592"
"206","184.29799666666668","180.57118","187.83174","188.73189000000002","187.78255","190.58223","90.349385","87.74381","92.022125"
"219","192.30051333333336","190.30072","195.50275","193.09398000000002","190.67177","195.87312","97.259215","94.981895","99.37957"
"232","197.97604666666666","195.98051","200.23042","203.54156666666668","200.32303","205.45421","107.76877999999999","103.64045","110.07471"
"245","206.20972333333336","204.73967","207.08136","207.34372666666664","206.04846","208.15701","119.03917166666666","114.20589","121.93298"
"258","212.25217333333333","210.54926","213.35326","214.56252333333336","212.7761","215.67522","131.88889666666668","128.52866","134.60336"
"271","218.44258333333335","216.54457","220.75014","223.95856666666666","222.96489","225.8667","138.93546999999998","135.64746","140.65654"
"284","224.01510333333331","221.75655","228.0721","226.23591666666667","225.24269","228.0737","147.25494333333333","145.38287","148.92346"
"297","232.75321333333332","232.43283","232.99873","233.18061333333333","231.38539","236.75693","157.58006666666665","153.05019","163.1975"
"310","236.6104366666667","233.95439","239.13559","240.74072","239.44482","242.13562","161.64396333333335","156.46213","165.14526"
"323","242.63066666666666","241.61882","244.32048","246.83853666666667","245.18962","249.02205","168.2213133333333","167.1402","169.54742"
"336","250.4105933333333","248.70883","253.52136","250.85161000000002","249.743","251.42969","176.27135666666666","171.38533","181.22728"
"349","253.39423000000002","251.3557","254.51205","256.92315","254.6005","259.91568","179.74860666666666","177.81331","183.20114"
"362","260.43276999999995","259.51263","261.56528","260.64012","256.75803","262.84708","185.57186666666666","176.42992","191.96368"
"375","262.8877733333333","262.14984","264.18008","266.7351066666667","263.71243","270.26236","186.63562000000002","183.29367","188.86748"
"388","269.3281866666667","267.26004","272.87076","268.8736","265.93762","270.41788","194.18638666666666","191.3206","197.16463"
"401","275.04631666666666","273.31674","277.50577","274.03911999999997","273.21524","275.46112","196.67255","192.6746","199.34361"
"414","278.8410366666667","277.11118","279.82355","276.3414233333333","274.6677","278.20374","202.89006333333336","200.60101","204.89293"
"427","282.59251","280.266","284.00436","282.6485666666667","281.48022","283.4053","208.5740933333333","206.99657","210.34804"
"440","287.92391","284.86346","290.79694","284.9616866666667","282.78772","286.48474","210.68628999999999","207.30002","213.19872"
"453","289.0687333333333","288.35184","290.4233","290.5338933333333","289.8539","291.46854","215.29345333333333","213.5806","216.62758"
"466","295.39933333333335","294.0633","297.37387","292.43233000000004","289.44766","294.62405","220.48728666666668","218.68324","223.01315"
"479","299.9777266666667","297.72095","303.7956","297.54381333333333","294.23","300.0695","222.79769000000002","221.78459","223.4316"
"492","300.7316666666666","297.6823","305.32367","301.19889","298.62982","304.83835","228.32351666666668","226.75905","230.22778"
"505","305.92751999999996","301.4256","309.8526","303.71568","298.64487","308.27542","231.7794666666667","231.58205","232.10701"
"518","307.0703566666666","301.9068","309.7068","306.8558566666667","304.50653","309.32047","234.61296666666667","232.70813","236.51114"
"531","311.72133","308.472","315.94495","310.5126866666667","308.57825","311.60703","240.12696333333335","238.98401","241.32756"
"544","314.0812866666667","309.77908","318.2727","315.24484333333334","314.35855","316.69083","241.80816333333337","241.19208","242.2495"
"557","320.68528999999995","315.00726","326.12976","315.18467333333336","312.22153","320.34094","245.15538","243.19409","247.05751"
"570","320.76323333333335","317.77417","323.26718","319.00227","316.94113","320.87598","248.79495333333332","248.56355","248.91261"
"583","325.5117133333334","320.2011","331.2124","324.34498","322.1293","326.93314","253.77409333333333","252.5001","255.00171"
"596","327.17623","319.63226","335.1756","325.41712333333334","322.885","327.78995","256.95663666666667","254.29634","259.13467"
"609","332.1177666666667","326.16672","336.88864","329.2630266666667","328.03857","330.85464","260.96931","260.18533","261.8929"
"622","334.60912333333334","329.62347","342.3992","332.94299666666666","330.47507","334.70737","264.38557","263.22723","265.79208"
"635","338.1395833333333","333.7333","343.8981","335.89952","335.0679","337.537","269.44341333333335","266.37042","271.91772"
"648","341.77242333333334","335.98795","350.30704","336.88638","333.99496","339.03738","269.5682266666667","267.54697","271.30136"
"661","343.7567666666667","337.79126","352.2259","339.83745333333337","338.1736","342.0912","272.95432","270.69653","274.10733"
"674","346.08241666666663","339.34567","353.29056","342.9537533333334","339.07816","345.0851","276.56985333333336","275.546","278.0681"
"687","351.09015999999997","345.27377","357.88556","340.89565","329.92633","349.37924","280.29607333333337","277.02985","284.90485"
"700","353.69966","346.36792","363.6306","345.7481533333333","340.4713","349.72543","281.4212","280.69095","282.5363"
"713","356.7685966666666","349.6341","366.08023","349.14424666666673","345.57556","352.50592","287.2251866666666","283.10278","290.40356"
"726","359.8824366666666","351.99823","370.52054","348.0987866666667","343.0962","351.09546","292.7814633333333","289.8843","297.03217"
"739","362.5258066666666","355.82782","373.19644","347.3599","332.93118","357.3138","294.92806333333334","291.74545","296.69794"
"752","364.8081666666667","358.8628","373.51547","351.32408333333336","343.1169","355.68698","296.6633933333333","295.49622","298.81992"
"765","366.9859833333333","359.24185","380.22623","354.70687666666663","346.79126","358.99857","298.29587999999995","293.72974","301.2464"
"778","370.28140333333334","363.58795","381.16254","358.6482733333333","355.69302","361.70743","304.46521","302.6496","306.3826"
"791","374.64754666666664","366.22772","386.86462","361.91468000000003","355.09042","368.34924","304.98812","298.87823","310.5254"
"804","378.22473999999994","368.33652","392.58685","362.6851466666667","359.25174","366.7038","311.57454","307.46915","314.60077"
"817","377.7492066666666","367.03427","392.88205","361.14493666666664","355.1766","367.22836","314.23179","313.0688","316.3762"
"830","382.42631","373.7709","396.73218","367.7395166666667","366.75528","368.36777","315.57815","311.3299","317.7259"
"843","386.37926","379.05264","400.22467","370.8873166666667","370.06335","371.89862","318.6153","314.6","320.9468"
"856","388.7465333333333","379.7451","405.78793","356.6606733333333","325.17126","372.75082","322.8389633333333","317.09015","329.8549"
"869","391.9473566666666","379.38174","411.26898","368.68416","354.64575","375.7394","326.3283333333333","325.0388","327.4391"
"882","395.4119466666666","384.27484","415.1054","372.0619133333334","358.51743","380.00223","329.1924366666667","327.90533","330.3528"
"895","399.64211","388.21658","420.96545","371.6404333333333","361.386","381.0509","332.9565733333333","331.3606","334.44458"
"908","402.9809","388.65317","426.22253","375.98004999999995","369.2828","383.95883","335.2490933333333","330.74365","339.49707"
"921","405.5195933333334","392.3283","429.472","379.73891","372.9084","384.33423","337.28637","332.84396","345.4648"
"934","409.62428","396.00153","434.15384","384.01105666666666","376.85785","389.2489","341.7319766666667","338.84833","344.90506"
"947","413.9159066666667","397.98465","441.38535","385.86635","378.50247","392.26205","343.2685066666667","342.42142","343.83185"
"960","417.36802333333327","402.4813","446.6604","390.20547333333326","387.02203","392.49393","347.9435166666667","343.689","351.0659"
"973","421.46192666666667","404.07422","450.92783","392.22470666666663","388.0349","397.10934","348.56718","343.7227","352.36584"
"986","426.40758999999997","408.5777","459.17337","394.00106000000005","390.71075","397.86703","355.60854666666665","355.19562","356.12442"
"999","431.12626666666665","412.44678","464.50482","397.13886333333335","393.26016","400.07306","359.66410666666667","352.32565","364.9828"
"1012","435.65487666666667","415.82364","473.46576","399.87867","396.3872","402.50568","361.93388","354.1695","366.49997"
"1025","441.4206033333333","418.06964","481.88715","401.5025933333334","398.48148","403.37704","362.8607266666666","358.7622","367.45114"
"1038","442.76632666666666","419.33478","481.8892","405.18630666666667","401.95773","406.83865","368.6594533333334","364.49908","376.95328"
"1051","449.7882666666667","426.16083","495.00323","405.60369999999995","402.5002","407.64","371.67544333333336","368.40103","374.66403"
"1064","454.93850999999995","427.63492","502.24103","408.72715666666664","407.2559","410.3916","381.2799566666666","377.38235","388.99234"
"1077","459.8759866666667","432.91714","504.88852","410.22430333333335","407.73557","411.66104","386.32662","376.9286","392.8948"
"1090","465.10248","436.88486","516.99225","412.83331333333336","411.18863","414.10965","388.2763133333333","377.6805","400.54242"
"1103","470.1541833333333","440.09402","519.4346","415.1219866666667","412.57416","417.642","395.19338","389.39786","405.71948"
"1116","475.5042166666667","443.45258","528.44617","416.49845666666664","414.34637","418.791","397.7869","389.3463","406.8445"
"1129","482.71416","448.78018","538.0356","417.72703666666666","415.50583","421.0999","404.96809","397.7442","412.54822"
"1142","491.8134333333333","453.13333","555.5089","418.5477333333333","416.58618","420.90762","410.45458","401.90134","418.67746"
"1155","497.4436066666667","458.60846","562.3621","423.2043333333333","420.82733","426.11145","413.89975000000004","401.98874","423.01077"
"1168","506.51412666666664","463.60928","576.70935","424.76848666666666","422.43607","426.88367","425.6542366666667","417.68463","436.6189"
"1181","512.1839333333334","466.10016","583.5492","427.1049233333333","424.91956","430.12534","428.8642633333333","421.58936","436.22723"
"1194","516.6292633333333","472.3617","586.10516","429.5864033333333","426.8836","433.03134","437.72936666666664","428.73956","452.0909"
"1207","526.3853600000001","473.54752","607.3852","432.14473666666663","429.465","436.73068","440.82636","429.023","448.85452"
"1220","536.5458066666666","480.99506","616.9671","433.83043","432.2083","436.68643","448.2494","442.93848","457.3981"
"1233","541.65128","487.82928","626.8318","435.94446999999997","433.03806","440.57773","453.1133766666667","442.34937","463.10648"
"1246","555.824","492.8628","642.2715","437.90004","435.1583","442.0695","459.24448","448.71237","470.1685"
"1259","560.0351666666667","497.45108","642.86865","440.86218333333335","437.41815","446.5248","465.71940666666666","452.0283","479.83118"
"1272","568.89154","500.94217","660.738","443.3580533333334","441.46857","446.96313","466.45658333333336","456.85995","475.2992"
"1285","580.3463733333333","508.05713","675.75665","441.59344333333337","433.93695","448.53473","474.0322733333333","460.4764","491.30197"
"1298","589.4706933333333","510.79434","685.789","444.0053433333333","435.13876","451.65717","486.7235733333334","476.21332","499.96402"
"1311","599.8257333333332","517.6709","699.6754","446.30415666666664","439.49075","453.3042","489.0455733333333","479.32205","502.38565"
"1324","606.1295","522.9854","698.4284","448.7129933333333","442.03375","455.98795","493.53645","479.90482","509.49295"
"1337","617.3131633333333","527.03406","719.34143","450.98827","443.64185","457.26776","498.25388999999996","484.21707","512.9327"
"1350","629.5536699999999","534.53784","732.901","453.4871733333334","448.60782","460.63168","504.9024366666666","492.41898","523.72345"
"1363","633.8865000000001","546.0362","734.43604","455.18603666666667","447.98337","462.16138","510.52094000000005","491.75177","525.46515"
"1376","652.7807933333333","548.2847","766.58234","458.51996","452.78674","464.6041","516.2223166666668","504.9623","529.9118"
"1389","662.2714033333333","550.06586","778.45215","461.20864","455.98425","465.7699","520.25373","501.639","540.45996"
"1402","672.3744666666666","569.1243","781.8094","463.0438033333333","458.28064","468.2417","529.06858","513.0701","541.0884"
"1415","678.0837499999999","573.3878","789.0609","467.86393333333336","462.3068","474.93826","537.03157","524.30725","549.93976"
"1428","698.0380799999999","594.98004","814.5568","467.45193","463.53076","472.5678","541.3317866666666","529.3844","556.52423"
"1441","715.0364366666666","603.12244","832.8474","470.30785","465.37485","475.47842","540.7524333333333","526.7344","565.771"
"1454","717.6211733333333","611.1751","834.00745","473.97884999999997","471.22467","478.61816","552.0921666666667","531.3132","580.5027"
"1467","734.9030666666666","630.5591","857.6445","476.8707366666667","474.00235","482.44302","557.0881966666667","525.53296","591.37067"
"1480","736.2265899999999","624.76074","853.48413","478.71839666666665","474.4737","483.82245","557.4762333333333","549.1728","572.156"
"1493","757.5427133333333","642.66547","873.6946","480.57373","476.96423","484.73563","563.5756533333333","543.68506","588.4739"
"1506","768.1960533333335","670.26483","882.64453","483.9015133333333","479.61282","488.80582","576.9300233333333","560.1431","602.3587"
"1519","773.3475633333334","671.95026","875.4537","486.80106666666666","483.01633","489.91534","581.7554","563.0528","604.6839"
"1532","794.2297966666669","688.96405","891.97504","488.8367","484.75497","492.43576","590.9395133333333","573.11017","622.26843"
"1545","804.6908166666667","719.0557","906.53265","492.41930333333335","489.5095","495.22256","594.57128","577.0504","624.7899"
"1558","820.7474299999999","727.2415","924.31256","494.3629766666666","492.64963","496.187","601.7245","578.0734","624.2855"
"1571","834.1108633333333","750.6598","919.47034","497.3204433333333","495.66055","500.18915","603.2321666666667","575.569","628.82916"
"1584","848.7166200000001","771.2448","929.6683","500.52324666666664","498.63208","501.63303","608.5108333333333","589.2576","639.8945"
"1597","842.5414433333334","777.7988","930.0513","503.03066999999993","502.57773","503.52188","618.7431333333333","603.2942","646.92"
"1610","864.7184166666666","782.7832","949.84015","506.5841833333334","504.63028","507.8279","629.5140133333334","599.9659","670.772"
"1623","880.1966900000001","803.2877","961.7912","489.4117800000001","449.37054","511.2679","632.2361333333333","606.3978","669.038"
"1636","888.2408133333333","823.8866","964.1246","508.34837999999996","497.70587","514.36237","639.0628","620.8304","666.2216"
"1649","894.6271733333333","826.00433","979.64636","511.0572833333333","503.05737","518.4073","649.4670333333333","620.4498","688.5868"
"1662","915.8233833333334","849.7717","988.48975","514.2575366666666","503.94586","520.7706","655.8519666666666","621.886","708.8415"
"1675","930.5857366666665","854.92645","995.88806","516.0203133333333","506.28204","522.8589","649.8142799999999","619.5669","690.66174"
"1688","925.5863666666665","864.1713","987.627","520.2773666666666","510.4278","527.2588","656.06922","642.0603","682.1188"
"1701","939.1405433333333","886.0149","1006.3554","522.0666566666667","510.97302","529.77155","668.3139333333334","651.7168","701.0517"
"1714","944.8288333333334","883.7313","1003.2969","525.27051","515.00073","532.6589","677.8934","640.9252","725.7398"
"1727","970.7294466666667","897.1512","1033.3959","527.4888533333334","518.00507","534.62274","681.63819","661.1666","712.61957"
"1740","969.2687433333334","903.6294","1038.0663","529.6678766666668","519.5504","535.97003","687.62804","668.15466","716.90466"
"1753","973.8275433333333","918.2755","1039.4846","531.11935","519.2393","538.87085","696.3055666666666","679.21686","725.12744"
"1766","1000.4801333333334","945.2374","1050.0435","534.1522666666666","521.4828","544.8181","698.4113000000001","668.2713","733.2404"
"1779","988.8385199999999","944.2902","1047.4366","536.60518","524.1002","546.6233","708.0645366666666","680.72205","753.8244"
"1792","1006.9118466666665","961.0187","1069.5316","535.6174733333334","517.57635","549.1543","716.4854333333333","700.3679","745.6202"
"1805","1016.5526833333333","964.6504","1081.6686","539.4471466666668","520.6737","553.3304","720.0128","686.3796","760.4276"
"1818","1022.4005000000001","974.5668","1081.2795","542.0080866666667","524.6408","555.0568","717.6431666666667","682.8103","751.3561"
"1831","1028.4651166666665","995.6156","1087.7969","546.3130833333333","529.60425","559.1982","730.5558033333333","706.01105","760.39276"
"1844","1028.7447666666667","992.1885","1089.0394","548.36837","529.58685","564.80646","738.8218333333333","716.4535","766.2568"
"1857","1045.7881233333335","1009.10547","1092.9039","551.1684833333333","533.2239","566.0866","743.9340233333332","721.7281","780.7929"
"1870","1046.1759933333333","1015.70575","1105.9064","552.7369233333334","533.1887","568.83887","737.7230400000002","730.1325","751.86346"
"1883","1061.4747666666667","1029.4752","1120.3453","555.5033666666667","537.2959","574.0518","748.9868","716.22095","781.7367"
"1896","1060.0717","1027.1821","1118.0142","557.9796633333333","536.30414","577.8843","759.1586233333333","734.2252","793.27203"
"1909","1064.1813","1036.3221","1100.7634","559.8664033333333","541.1144","578.33167","756.5954499999999","732.90955","796.0904"
"1922","1071.0366333333334","1028.0034","1112.2394","562.1906","543.2753","582.7319","765.26861","740.36993","789.352"
"1935","1073.9293333333333","1025.9784","1128.8534","565.7992133333333","544.74884","586.77356","770.3765999999999","740.9538","805.5527"
"1948","1091.7371333333333","1078.972","1117.2054","567.7801733333334","546.64154","590.97974","775.9925833333333","749.7522","810.11975"
"1961","1093.7848000000001","1063.1835","1144.6149","570.3589833333333","548.12555","596.6469","783.3175","756.3437","818.1647"
"1974","1103.7062333333333","1067.3618","1147.7847","574.0180066666667","549.89667","602.13025","786.3783999999999","760.7778","819.7848"
"1987","1100.7228333333333","1059.365","1124.6466","575.25158","550.5621","603.17694","793.6341166666667","769.72644","828.73737"
"2000","1114.1212666666668","1066.0656","1159.1136","577.8432333333333","552.9974","608.2629","796.8456466666667","766.284","827.00824"
"2013","1128.6544000000001","1081.4844","1158.7227","582.45425","555.09485","614.0335","801.2752633333333","779.799","832.27954"
"2026","1131.1948333333332","1095.602","1169.3558","585.1681166666667","557.6834","619.3334","797.4407666666666","782.65283","816.90027"
"2039","1127.0884666666668","1078.6843","1176.0426","588.5711333333334","558.2186","624.3703","800.5062866666667","778.3749","831.10406"
"2052","1138.4066333333333","1108.8507","1172.2036","592.9636266666666","562.46893","631.61","803.9584566666666","776.99347","841.0355"
"2065","1132.9091999999998","1098.4904","1157.6259","595.68818","563.5387","634.79","819.2368533333333","797.7983","843.90326"
"2078","1161.5712333333333","1117.6097","1194.072","601.2210233333334","563.6109","648.7086","813.9410966666668","785.95685","848.7932"
"2091","1159.9017333333334","1100.9756","1193.7861","602.5579899999999","564.1027","649.5673","816.0828533333333","798.50006","849.8498"
"2104","1157.9741999999999","1113.1057","1195.1593","608.7663","567.68335","658.9911","828.3160833333333","789.52185","869.8593"
"2117","1163.7556666666667","1124.9635","1188.7034","612.7310066666665","569.5773","667.91235","831.2120666666666","814.60455","862.6409"
"2130","1163.6161","1122.949","1189.0614","615.8058","570.3547","673.3914","836.9179466666666","816.7664","869.4507"
"2143","1177.397","1141.7131","1199.651","620.99343","573.20966","682.3523","841.2962199999998","811.0627","884.5994"
"2156","1183.5568333333333","1151.9888","1204.5621","626.96002","575.35876","693.61194","847.2775666666666","827.7579","873.2571"
"2169","1184.3208666666667","1148.8735","1203.5286","631.0175466666667","576.60004","698.1031","864.25231","830.5504","909.59863"
"2182","1178.2779666666668","1139.8491","1202.1438","633.2878033333333","579.82117","700.8592","859.63942","839.21826","899.9469"
"2195","1181.3811333333333","1148.1509","1204.2015","642.0683666666667","583","716.6453","855.5554333333333","829.9888","891.1671"
"2208","1179.765","1135.3303","1209.2168","647.7493833333333","584.47125","730.3815","859.73995","844.2283","884.50745"
"2221","1187.3580000000002","1161.7297","1201.2213","651.3575833333333","587.76465","738.43054","874.2367666666665","846.8806","918.3086"
"2234","1185.4016","1147.1866","1216.2437","659.8479066666665","592.1346","749.99817","876.23387","860.8932","897.53845"
"2247","1194.4273","1154.9442","1221.933","661.71506","592.9788","751.33673","871.1596633333332","836.9005","914.75024"
"2260","1191.2921333333334","1142.1405","1220.1577","669.1445666666667","596.0961","765.1615","884.4244233333334","856.06067","924.3776"
"2273","1202.5494666666666","1154.2737","1228.7036","675.0047199999999","599.68646","779.502","880.02985","858.69965","902.446"
"2286","1222.231","1185.6963","1250.7878","681.4378666666667","602.3762","787.3318","888.7699166666666","857.0637","925.9778"
"2299","1218.4963666666665","1160.2407","1251.3733","686.8233766666666","604.37427","796.348","894.5707900000001","879.271","925.0483"
"2312","1212.9023","1175.1161","1237.7479","691.4696766666666","607.069","798.65857","901.0367333333334","882.4739","931.3021"
"2325","1230.8605666666667","1188.9395","1255.7714","698.6254933333333","612.42444","812.7162","903.8138466666666","877.1387","940.67334"
"2338","1231.6021","1200.4115","1250.1844","703.0850133333333","618.4251","814.94684","902.86202","882.74896","922.7111"
"2351","1235.8377333333335","1213.4008","1249.7081","707.42892","619.3724","826.18646","907.28863","881.27826","936.89"
"2364","1247.6676333333335","1210.4547","1282.7864","719.2013666666667","621.4201","843.7223","915.6669533333334","885.9948","953.8315"
"2377","1242.9152000000001","1194.5038","1277.1411","719.13688","624.2054","841.76624","922.1270866666667","901.76776","947.35"
"2390","1248.3284333333334","1232.2443","1263.3087","727.6589166666666","629.87195","855.3844","926.4201999999999","901.2679","952.5772"
"2403","1246.4396","1224.5778","1266.6083","734.6403566666667","632.1035","859.3194","918.9059666666666","900.566","944.5975"
"2416","1262.4753333333333","1230.8049","1290.3911","740.9014900000001","636.8301","865.90967","921.6261799999999","904.8495","948.87714"
"2429","1259.6650666666667","1225.4767","1287.5482","742.9819666666667","638.6536","870.8216","926.9647866666666","902.6401","961.44476"
"2442","1253.6787666666667","1205.0576","1278.6835","750.77669","642.90247","880.5647","927.0022133333333","917.92065","940.84106"
"2455","1260.6812","1230.6742","1291.4933","758.0631833333333","645.2601","890.54315","936.1202699999999","903.92676","975.9938"
"2468","1269.6364333333333","1236.7753","1297.797","762.1173833333334","650.4541","892.4199","941.05705","921.732","978.21155"
"2481","1266.9836666666667","1226.192","1290.615","769.29187","655.2597","895.92145","943.5131333333334","922.2602","976.8923"
"2494","1275.9413666666667","1239.076","1303.116","775.0546866666667","657.17426","907.1762","947.2349933333334","933.49445","974.5953"
"2507","1270.7499","1214.0453","1300.0162","781.44483","664.1058","913.18304","944.57171","915.952","976.9228"
"2520","1277.1381333333336","1231.9181","1314.1522","786.1627266666666","668.78973","915.8124","957.0225133333333","930.8376","994.0364"
"2533","1287.1366333333333","1248.9021","1318.6208","794.80158","674.6477","929.191","949.5588666666666","907.08295","985.0497"
"2546","1282.7554333333335","1229.9972","1315.1744","801.6955933333332","679.00854","937.53064","958.1399866666667","929.82776","991.5322"
"2559","1293.5813999999998","1251.7603","1326.4545","802.9873799999999","680.9828","939.983","957.4488","923.9847","995.4907"
"2572","1304.7592333333334","1276.3628","1336.9535","808.3154866666667","688.2749","937.26416","963.2027400000001","940.01886","987.7804"
"2585","1302.5025333333333","1278.9014","1331.5768","816.8131833333333","696.9854","948.0042","962.7035333333333","935.3019","996.6067"
"2598","1307.3889666666666","1272.3783","1336.1941","821.4518866666667","702.3298","955.2144","980.9355233333332","945.6744","1029.0845"
"2611","1309.8410666666666","1276.59","1343.973","825.5704000000001","710.7192","955.368","973.3021","945.0114","1009.6902"
"2624","1315.3637333333334","1280.1761","1341.6506","832.2794133333333","712.6126","970.04034","980.1268766666667","958.9503","1000.2811"
"2637","1308.8573333333334","1261.6836","1345.4226","837.6864633333334","722.05475","972.32794","989.9556899999999","962.29913","1022.55554"
"2650","1321.4501666666667","1290.118","1353.545","840.7857866666667","726.12146","975.77875","974.7304533333332","957.69556","1003.1636"
"2663","1318.1064666666668","1277.5669","1352.4833","849.85093","735.70154","985.63275","984.87511","964.4442","1014.1049"
"2676","1323.5629000000001","1282.2449","1360.1405","855.9989999999999","745.85803","989.5396","990.3763666666667","955.69025","1028.831"
"2689","1327.5681333333334","1288.1204","1374.4457","862.8891666666667","750.5184","998.0589","992.5544866666668","974.44446","1003.821"
"2702","1330.1198333333334","1286.8132","1371.7621","869.8196533333333","759.3487","1006.811","1001.1319866666668","983.4789","1025.0315"
"2715","1331.0246","1289.8766","1375.1443","874.8279666666667","766.6053","1009.8161","1008.1470666666668","989.40735","1036.02"
"2728","1337.4373666666668","1304.2966","1376.8671","880.9892466666666","771.8457","1020.95984","1000.4153","968.165","1038.469"
"2741","1340.3326666666667","1300.0367","1374.2788","886.2733766666666","778.6842","1023.97327","1011.1657466666666","979.79694","1044.5752"
"2754","1347.0012","1296.535","1394.1766","890.5062166666667","791.9088","1019.96045","1011.1106","989.0378","1028.7998"
"2767","1348.8514333333335","1319.092","1389.1725","902.61465","794.88715","1046.2635","1015.46252","997.11176","1045.9272"
"2780","1353.5604666666668","1322.142","1385.711","907.2129533333333","807.58466","1049.0154","1023.5304","1004.4682","1050.1183"
"2793","1355.2981333333335","1305.635","1401.9506","917.0576166666666","809.71735","1066.3212","1015.2339333333334","995.208","1035.3157"
"2806","1359.4940000000001","1320.4172","1405.5731","921.1554166666665","816.30225","1069.4514","1018.6013199999999","1002.68396","1033.0759"
"2819","1362.2524999999998","1313.3889","1395.8992","928.58149","818.85913","1082.6202","1025.7318333333335","998.2633","1057.3882"
"2832","1365.5029000000002","1325.1893","1413.5587","939.72338","829.2158","1100.3778","1022.0304533333333","996.87396","1060.7555"
"2845","1366.2077000000002","1327.2715","1402.6599","943.0958999999999","833.7205","1103.1866","1032.5714500000001","1010.3862","1072.5585"
"2858","1377.4629666666667","1331.0961","1415.872","947.1223566666667","839.5543","1107.1968","1025.3665333333333","1011.2543","1040.6895"
"2871","1384.6335","1335.9156","1429.5968","959.25999","848.24927","1129.8894","1024.8438466666666","995.15704","1059.0048"
"2884","1377.8231666666668","1339.498","1415.5847","962.0180333333333","853.6872","1125.8752","1036.3996","1011.2251","1063.7631"
"2897","1382.9736999999998","1341.5575","1447.205","968.46504","851.40906","1139.1558","1037.9892466666665","1013.09064","1059.4258"
"2910","1389.9683333333332","1332.5747","1458.296","977.2111333333332","862.1578","1153.3976","1047.8144","1032.391","1071.6293"
"2923","1397.0031","1351.6525","1454.1986","987.8368","868.674","1172.9741","1052.4768333333334","1029.9148","1078.4425"
"2936","1378.1451","1327.5334","1425.7146","991.1029866666667","875.50726","1172.0465","1045.2278666666666","1018.8221","1074.047"
"2949","1390.6917999999998","1354.7817","1434.6105","1001.8370666666668","882.43744","1190.3674","1048.9184","1023.7052","1071.5509"
"2962","1400.1340333333335","1359.2007","1453.8297","1002.7249","878.7449","1195.1321","1055.4124000000002","1031.3873","1076.1238"
"2975","1400.2182333333333","1349.3541","1460.194","1014.81002","890.7966","1211.3726","1050.1169","1028.6442","1075.3762"
