"Step","env_name: myoLegRoughTerrainT2A-v0 - rollout/ep_rew_mean","env_name: myoLegRoughTerrainT2A-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegRoughTerrainT2A-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegRoughTerrainT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegRoughTerrainT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegRoughTerrainT2Apca-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegRoughTerrainWalk-v0 - rollout/ep_rew_mean","env_name: myoLegRoughTerrainWalk-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegRoughTerrainWalk-v0 - rollout/ep_rew_mean__MAX"
"648","317.69650666666666","316.2909","319.6247","323.4428566666667","321.63535","326.4745","262.27588999999995","259.3906","266.15002"
"661","320.1570033333333","318.87024","321.63394","321.79586","318.21335","325.62973","266.98449","263.8346","269.32224"
"674","320.2589733333333","319.63022","320.72943","326.2899033333333","322.4938","328.78033","269.4991","266.9225","271.9829"
"687","323.5513233333333","322.69394","324.96735","329.85844333333335","325.53613","336.9379","271.00381666666664","266.633","273.40085"
"700","325.8860066666667","324.93765","326.92462","330.67906999999997","326.15677","333.9268","272.03103333333337","271.52206","272.44427"
"713","327.18063333333333","325.3901","328.48798","332.89932000000005","329.52444","337.69464","278.8649433333333","273.81998","282.95245"
"726","331.4516233333333","330.7904","332.36957","338.0677633333334","334.3964","343.00687","280.44675","278.74738","281.34415"
"739","332.6167666666667","331.44882","334.8554","338.39920333333333","335.49033","342.31873","282.91074333333336","280.411","286.56955"
"752","334.66097666666667","332.8059","336.81067","340.41605666666663","334.81235","346.90994","285.1662933333334","283.63654","287.72284"
"765","336.2902033333333","334.6955","337.83148","344.37386999999995","337.8785","352.38718","288.0024833333334","286.96674","288.72443"
"778","339.5646166666667","338.98743","339.87277","344.18261","339.6595","350.71768","289.53257666666667","284.1909","296.33426"
"791","341.87031666666667","339.584","344.3783","347.6831366666667","343.86884","355.09314","293.13630000000006","290.9294","296.03284"
"804","341.4296","340.3315","342.03375","350.65852333333333","344.18057","359.8697","295.03872","291.31064","297.7776"
"817","343.60940666666664","342.88678","344.16608","353.76174","346.98","364.8892","297.70093","290.08487","302.7743"
"830","346.38086999999996","344.97806","347.6878","353.7133333333333","347.58044","364.14426","300.4976966666666","299.54175","301.27594"
"843","347.92158666666666","346.2176","348.81146","355.07735","346.75452","367.01797","304.67102","301.73303","308.73358"
"856","350.85147666666666","350.17963","351.7343","357.86266","351.92493","366.5306","306.81624000000005","304.65775","308.5519"
"869","351.91060999999996","351.39273","352.5358","359.27621666666664","352.79813","371.88504","309.92945000000003","306.3849","316.75235"
"882","355.6337333333333","352.17917","357.3622","362.34736","353.00186","376.57507","310.27642","307.46082","313.56897"
"895","357.02377","355.88705","359.11163","362.54888666666665","354.44443","377.4619","311.6273366666667","305.37115","320.15936"
"908","356.60899","354.78223","358.89032","366.74366666666657","357.66315","382.95435","317.12232666666665","314.4655","320.3994"
"921","360.2715766666667","359.6984","360.9407","370.64258666666666","362.0934","384.6313","316.44371333333333","313.94504","320.741"
"934","361.25460666666663","360.34598","362.81262","371.2649333333334","362.50388","386.91568","322.9164633333333","317.8606","326.30307"
"947","359.3083633333333","346.31622","367.3647","374.6391966666667","364.5042","393.69263","324.5129133333333","320.9955","327.25394"
"960","361.42777666666666","354.22498","365.35223","377.62285","368.8089","393.09885","323.99781","318.727","327.09933"
"973","365.19523000000004","357.10825","371.55276","378.26272666666665","369.00668","396.26746","329.6890266666667","327.435","331.5513"
"986","368.31355","359.16016","376.91986","380.0351366666667","369.08435","397.33002","331.51068333333336","327.82092","334.22653"
"999","370.8101","362.1694","378.49222","380.6577833333333","369.2949","399.74405","334.90569","332.40967","337.9205"
"1012","351.85362000000003","317.31543","373.48633","387.00384","372.4984","409.50375","334.40896666666663","331.96625","338.47415"
"1025","360.90190666666666","341.16083","374.53287","389.4511","379.0848","409.8555","340.77967666666666","335.6856","348.68503"
"1038","364.63677666666666","345.27768","376.81305","392.0714866666667","379.98917","413.13535","339.18809000000005","338.26996","340.03683"
"1051","366.69586","351.02066","376.96402","392.82526333333334","381.3861","415.13272","343.0516666666667","335.33035","351.7157"
"1064","369.89514","357.88113","380.02075","394.8858433333333","382.027","417.6887","346.3290233333333","341.8499","351.92465"
"1077","368.5534433333333","359.1751","383.23117","401.60534","387.54947","428.4094","345.35462666666666","341.36847","348.31653"
"1090","372.56918333333334","366.38284","382.97498","401.5624666666667","388.65662","426.9074","347.30442666666676","344.40714","350.66974"
"1103","375.98434333333336","371.4439","382.57468","404.50638333333336","392.2261","427.8933","349.96462","343.31348","359.82748"
"1116","377.5294966666666","371.80505","385.50824","412.0009433333333","397.7337","439.04446","355.31878333333333","349.78275","361.8338"
"1129","380.14367","374.99295","386.04346","414.40994333333333","396.54276","448.01727","362.3561033333333","359.92285","364.9564"
"1142","382.26332","378.1703","385.45358","414.7857366666667","398.2641","444.48773","361.32824666666664","352.13168","369.4213"
"1155","382.1290666666667","374.96387","387.9937","421.31090666666665","402.6089","455.79657","361.2949833333334","354.10477","370.89325"
"1168","387.98042000000004","382.0419","393.77512","425.33259","405.41687","464.505","368.4575666666667","361.9225","374.657"
"1181","391.6742566666667","389.07846","395.38797","427.87417999999997","409.40662","464.7306","370.14960333333335","361.44183","376.2271"
"1194","392.95865333333336","391.0634","395.23874","434.78864666666664","406.05807","483.46857","369.78131","364.83145","375.56354"
"1207","392.0486133333333","389.29898","395.4151","437.17581","416.17352","478.92084","378.67159","373.37897","386.94717"
"1220","396.96020333333337","395.1877","398.36063","439.0620933333334","415.44888","484.5701","381.2495333333333","375.28467","385.96286"
"1233","400.1688266666667","396.63986","402.3058","445.45554666666675","418.33353","495.32184","383.73243333333335","377.5976","388.72467"
"1246","400.41786666666667","397.85168","402.11655","451.56490333333335","421.54843","504.6522","383.77279666666664","380.78674","387.16525"
"1259","400.70424333333335","400.04962","401.33646","452.3054033333333","422.74973","502.5467","399.3583566666667","384.8525","408.7407"
"1272","404.37322666666665","402.34952","408.0523","457.5248166666667","429.64035","506.7179","393.47775333333334","386.0552","402.93964"
"1285","404.8510966666666","401.7415","407.70834","463.36772666666667","431.17923","522.28937","403.06005333333337","389.11383","415.83923"
"1298","408.53061","403.56723","414.06006","467.92659000000003","436.03705","531.2","406.48426666666666","391.96765","414.9564"
"1311","411.41054333333335","408.288","415.86807","476.69338999999997","438.78772","543.5181","406.62322","399.25476","414.79648"
"1324","412.26453666666663","407.03192","419.96146","478.8110633333333","439.73822","552.21075","411.8194166666667","404.88425","416.5218"
"1337","414.9054233333333","411.30887","419.4993","487.10250666666667","449.8041","561.63635","416.74674000000005","399.9388","427.324"
"1350","417.1942133333334","412.4651","425.9634","493.72202666666664","452.3063","574.1637","423.4169366666667","404.52206","436.5114"
"1363","420.35007","413.22998","430.65253","495.11260999999996","457.21545","569.0528","423.80185666666665","407.61172","435.56442"
"1376","414.67474666666664","410.97452","417.01022","501.7530133333333","457.1375","588.19464","430.3748333333333","419.28482","437.75128"
"1389","421.96463","417.64322","427.96307","508.3798433333333","462.8552","592.58716","430.5333366666667","424.90143","440.82538"
"1402","425.37788","419.60828","430.78326","512.43663","465.43414","599.61505","435.65572333333336","425.72354","448.6807"
"1415","426.4780766666667","423.005","431.6424","517.4506133333333","471.42386","607.1702","441.67985","429.76547","456.1918"
"1428","424.26780333333335","408.58417","437.10837","524.9026866666667","474.1153","619.6939","453.96511000000004","429.66565","469.46085"
"1441","427.99829","416.03937","438.7488","528.0253066666667","478.9059","618.30817","450.2119833333333","436.66623","459.3879"
"1454","429.48015333333336","420.0118","436.91446","532.6214833333333","485.6131","624.3541","454.22224000000006","437.69858","463.33734"
"1467","433.7028566666667","419.33093","443.24612","545.4783166666666","495.54855","636.367","457.1359166666667","445.84845","470.47754"
"1480","435.67702333333335","425.5506","444.39465","543.41859","490.0134","636.23175","464.24534666666665","446.48486","479.5183"
"1493","437.87191666666666","424.12036","446.62756","556.55444","492.69238","661.3272","474.8213466666666","455.90546","490.53378"
"1506","439.3381733333333","424.89102","450.8236","558.6901333333334","501.9623","661.7426","481.48368999999997","458.01147","499.22128"
"1519","442.62851333333333","429.29822","452.9325","571.69085","517.03345","663.5142","482.51986000000005","463.6637","496.79114"
"1532","420.1661533333334","382.11783","448.32593","567.2228566666666","510.90277","668.8559","491.3357433333333","470.41605","502.39053"
"1545","434.5650533333333","425.3871","449.91956","577.1425533333332","524.81256","670.7512","490.86878666666667","475.7371","501.60022"
"1558","437.92755000000005","428.4448","453.69385","588.7988666666666","532.5268","686.9834","496.19011333333333","476.35815","512.31305"
"1571","443.04017999999996","436.31543","455.35086","596.6504166666667","534.22595","690.0872","502.5786033333334","489.63058","514.11743"
"1584","446.8238933333334","436.87195","460.74045","601.3720166666667","535.57135","691.9363","508.8491666666667","490.7878","518.7198"
"1597","448.8451333333333","437.5349","460.8169","604.6278599999999","546.5289","700.80994","515.3198000000001","491.1804","534.1352"
"1610","451.7011333333333","436.09534","463.05896","615.3595133333333","545.21204","716.7694","522.93982","495.6929","541.3704"
"1623","454.9741333333333","440.9672","467.37878","628.4863333333333","564.4496","722.7966","527.2217866666666","504.01526","540.2558"
"1636","457.34959","443.66553","469.26297","637.5283633333333","572.01984","732.35895","536.09261","510.52423","558.7177"
"1649","459.47385","441.55283","473.22394","630.4942533333333","570.51886","720.7916","547.7251833333333","527.38495","560.1924"
"1662","462.7980966666667","444.48502","477.50784","646.4168599999999","579.3165","734.76013","545.5742466666667","517.752","560.2147"
"1675","463.1147266666667","443.93088","477.5434","648.5952133333334","594.77594","733.7818","562.6283","540.39465","577.41675"
"1688","469.82032","452.73517","484.30865","660.86982","609.1143","742.9871","557.3423133333334","535.9206","570.1545"
"1701","469.7703833333333","452.45355","481.31967","664.2292000000001","608.456","752.6432","574.1601566666667","543.5838","590.20557"
"1714","474.34888666666666","453.38687","490.95923","681.4161666666668","622.735","764.3479","572.7199300000001","548.40344","597.68945"
"1727","475.25122333333326","456.0084","489.3905","680.8697333333333","635.081","758.1744","580.3587866666667","557.09143","596.91473"
"1740","477.5613733333333","456.84583","491.07764","686.1723233333332","633.05347","769.1224","582.7692666666667","549.551","602.1801"
"1753","480.82466666666664","462.8795","491.6688","695.2274000000001","634.8001","774.8207","588.4310866666666","562.183","602.7742"
"1766","483.65598","461.17462","501.54742","703.8750533333332","652.3117","778.3986","603.2374733333332","573.71545","629.98987"
"1779","483.44320666666664","462.38644","496.40085","716.6808466666666","666.60974","792.4773","604.3480333333333","577.2338","622.2608"
"1792","489.69521000000003","466.89874","504.61215","725.4875533333334","674.1064","802.5509","601.9741033333333","583.71796","614.8003"
"1805","491.63574","466.9582","508.7924","725.8919333333333","678.6163","794.6294","600.4005933333333","584.93274","613.0946"
"1818","494.32438","471.6996","507.60764","735.8287666666666","684.665","814.994","617.10667","589.31177","634.86444"
"1831","501.1537166666667","473.78705","517.9025","734.3962833333334","692.55634","798.59827","617.36389","591.07367","631.881"
"1844","499.95009666666664","471.46054","514.66235","750.3590833333333","697.54065","825.2811","628.29042","599.6087","645.56976"
"1857","506.29080999999996","471.9395","525.67773","742.4889200000001","701.7894","818.67456","633.07937","601.98755","664.05066"
"1870","511.06487","479.7811","533.93805","757.66232","713.1189","841.3597","629.4739533333333","614.77216","648.3502"
"1883","513.1745233333334","481.4369","529.97864","764.5415866666667","714.63556","842.963","648.9135333333334","625.69836","671.55334"
"1896","514.59296","479.44662","534.1812","778.0183666666667","727.045","849.2123","653.0401499999999","624.3402","676.53235"
"1909","521.2991966666667","477.91455","545.34174","769.7430233333334","729.4113","841.33167","658.4677466666667","644.2431","667.81604"
"1922","526.8395733333333","480.55942","552.9933","789.8929066666666","758.2646","846.75006","657.6709500000001","649.0452","664.302"
"1935","533.1034","482.2103","559.8992","784.4063366666666","755.72485","826.77716","659.5381166666667","636.1052","674.75885"
"1948","535.9365333333334","486.7582","563.6624","792.4236866666666","754.9809","858.27576","670.1388466666667","665.5729","674.21844"
"1961","541.8575233333333","490.321","572.8018","800.6949","763.0884","869.7338","677.1719166666667","657.0152","698.64935"
"1974","547.2599166666668","493.3849","580.8235","813.6526766666666","775.1895","874.51373","679.44054","663.2438","693.52185"
"1987","555.98329","492.50354","588.041","801.4824133333333","746.51764","869.5246","682.9511133333332","676.3487","689.664"
"2000","561.4370366666667","493.49417","598.86804","816.0245799999999","792.9879","858.8533","690.4596533333333","678.5039","700.14716"
"2013","569.2875533333334","496.0271","610.7285","817.2473833333333","787.1272","875.2549","678.5188333333333","669.257","688.1674"
"2026","578.5629166666666","497.0045","623.90125","822.8065766666667","806.82837","854.61053","688.3831166666668","670.0433","700.40485"
"2039","578.3229200000001","481.5391","627.379","821.5067666666667","798.45044","867.13116","700.6149466666666","698.7878","701.5474"
"2052","591.0794766666667","494.71097","649.53796","829.7765033333334","809.97925","868.60626","701.6285799999999","692.8928","707.6473"
"2065","595.9716400000001","493.71997","649.3227","830.773","810.95483","866.64307","694.9222666666666","686.8266","700.6172"
"2078","602.3151433333334","497.28403","657.1114","839.0943833333334","803.34595","880.17084","714.57614","706.9302","719.74646"
"2091","607.1917033333333","496.75024","666.16327","843.1758","819.8987","886.6074","705.2940966666666","692.76385","727.1127"
"2104","609.6461033333334","502.23087","676.16144","850.5422333333332","812.8186","900.6496","720.8245033333333","706.6333","728.53076"
"2117","615.3097899999999","504.03983","679.61","855.4889800000001","823.15784","902.6087","725.7608666666666","713.3913","732.97675"
"2130","626.6913166666667","501.7742","689.44135","851.8471566666667","825.7866","889.7296","723.2442333333333","713.7982","730.7766"
"2143","634.4639366666667","509.69275","700.26086","864.3507166666667","850.1129","882.2368","728.4430166666666","708.0761","741.01245"
"2156","631.3208666666666","502.9775","700.5347","859.6885000000001","842.8997","881.5656","735.0085566666667","727.6427","748.58887"
"2169","632.09404","506.9297","705.91205","876.70327","853.83905","915.28876","732.5226833333332","711.90985","744.9262"
"2182","651.6744533333333","511.7905","744.02216","874.9582233333334","854.7208","903.60223","726.8865333333333","711.463","735.3677"
"2195","652.90125","513.9783","738.06165","875.1926966666666","856.94464","900.90765","736.8267","726.2582","742.6912"
"2208","654.0411466666666","516.21674","727.209","883.8155966666667","853.886","934.04645","743.9743866666666","725.52716","756.9745"
"2221","665.79785","516.91785","745.14825","885.29628","873.2435","908.0569","749.2856333333334","739.48566","759.9595"
"2234","662.1163499999999","518.3874","755.2844","894.86802","884.06903","909.6792","758.1688333333335","732.5759","782.2567"
"2247","676.7188033333333","521.78156","761.96985","910.5904066666667","900.304","923.41876","750.4659866666667","739.02515","759.99274"
"2260","674.0654166666667","522.8985","770.35645","890.4090866666666","865.03046","926.9098","753.18491","740.66943","772.8149"
"2273","680.7743966666667","527.6222","768.96704","901.15082","899.52216","902.7606","756.1538","740.9354","772.8552"
"2286","686.4765666666666","527.2462","777.4522","911.6861166666666","897.17084","935.88916","761.6174333333333","751.0288","781.0292"
"2299","694.7106","529.7649","784.9841","911.2664566666666","896.74304","938.29193","763.5257466666667","752.6588","783.62604"
"2312","692.54732","530.06866","779.7906","919.5510700000001","889.50507","936.1623","763.6673466666666","750.8796","778.456"
"2325","691.1417566666665","533.8905","770.684","932.9121799999999","908.1659","967.07324","764.10203","751.76715","783.716"
"2338","700.1474866666667","533.4606","791.0938","914.3695199999999","897.8106","943.0244","772.7530333333334","749.8336","784.3096"
"2351","700.8162599999999","538.13495","793.2058","912.8137566666668","892.8681","932.1906","768.7902300000001","742.17084","787.0823"
"2364","701.7847266666666","546.61096","787.74426","930.3639533333334","910.10376","941.71045","769.35101","746.57684","798.63885"
"2377","719.54288","549.24274","815.8659","939.4303833333333","916.0761","965.20715","766.73862","762.0079","771.53766"
"2390","717.47888","557.61975","810.19226","932.3927233333334","909.99335","957.91547","785.4578666666666","781.418","793.4024"
"2403","725.1272666666667","557.9922","828.8406","930.4135","906.8832","948.23535","795.7789199999999","791.98016","802.3135"
"2416","721.5066999999999","560.19867","809.2535","939.3745133333333","930.5751","953.94794","782.9621000000001","769.6327","794.3"
"2429","736.6916466666667","565.3301","835.8201","941.1301366666667","929.3367","963.90344","787.8570133333333","769.74945","805.72015"
"2442","740.5092833333333","574.6996","829.0586","942.61669","928.47437","959.3977","789.4067666666666","778.4197","811.0953"
"2455","744.9578799999999","577.4935","834.0804","951.2529799999999","936.6693","961.2194","792.3550233333332","776.296","804.21277"
"2468","754.3875866666667","586.7204","848.3339","954.51532","928.7632","969.42126","800.3116799999999","786.9245","811.7321"
"2481","743.3272166666666","586.93225","836.2706","941.5302433333333","924.02106","952.1918","802.7833999999999","797.1142","809.1086"
"2494","757.0941533333333","594.1268","844.83856","947.6508866666667","934.7022","964.595","798.4525166666666","787.4286","810.08545"
"2507","753.8923166666667","599.0674","832.74945","970.0936266666668","957.07446","979.30316","805.6037166666666","790.5881","814.59595"
"2520","761.0872666666668","606.3593","852.0471","970.6316","956.695","986.0451","810.45028","793.4267","835.7862"
"2533","770.581","608.7568","857.56854","946.23338","926.56714","957.44745","811.9815666666667","802.2542","825.2572"
"2546","774.5875333333333","615.2931","869.7324","961.0651133333332","951.8588","966.0429","805.66851","802.43896","811.8184"
"2559","777.8116333333334","640.1518","858.5978","966.3099666666667","950.6809","987.5878","822.3155633333332","800.96094","845.0242"
"2572","772.9684766666666","637.6716","855.03046","967.65071","928.09503","1012.96","817.8004166666666","810.7743","824.5708"
"2585","784.9244333333332","644.0814","868.6156","979.5340133333333","950.01227","994.3286","810.1374533333333","809.23096","811.4433"
"2598","788.3670233333332","655.61304","864.3457","975.1945333333333","952.48676","1008.7454","820.65681","800.2185","847.40643"
"2611","800.4426199999999","658.195","881.97266","971.7510466666666","940.4656","987.40894","825.4326599999999","805.41095","856.77277"
"2624","783.4398333333332","666.9209","875.0932","977.1528233333333","957.0571","997.77783","840.1992966666667","826.86334","847.674"
"2637","791.4032733333333","676.94147","876.47925","976.70199","974.06104","980.5655","836.9575533333333","820.1206","858.7968"
"2650","789.1861666666667","670.35126","876.71344","986.0833333333334","972.9075","999.8395","834.2376766666666","826.7425","841.30853"
"2663","799.9588866666667","690.6345","870.7078","985.8703","954.3359","1007.6219","827.6180566666667","801.91437","847.3895"
"2676","807.7168133333334","689.1411","897.3133","995.2617333333334","984.13446","1015.614","852.1835500000001","822.1497","880.7704"
"2689","798.0275833333334","686.777","883.5267","1007.0096","996.5121","1013.0022","845.3131666666667","825.9091","855.8692"
"2702","816.8021666666667","703.9197","905.9243","981.1307233333333","973.6548","985.97217","848.83493","830.10876","863.67993"
"2715","827.3055066666666","725.8379","904.46967","1002.11957","991.56366","1016.7887","847.3668466666668","843.03204","853.8065"
"2728","829.8814699999999","723.80426","901.7569","1002.84834","990.60516","1018.1215","856.0804199999999","849.0098","866.162"
"2741","820.9676333333333","725.4803","886.132","996.1737866666666","983.0103","1010.6645","856.9384666666666","844.246","880.52"
"2754","838.2008166666668","723.995","930.5516","1005.8987433333332","991.6364","1028.9977","871.9223466666666","847.4961","901.2403"
"2767","849.5011566666667","737.09607","923.3971","1005.6334866666666","968.81506","1035.1675","852.6496299999999","831.6721","868.55493"
"2780","847.2389333333334","731.8066","909.9728","1006.7203366666666","999.49426","1019.1297","855.8241566666667","837.8346","883.20483"
"2793","843.5393866666667","729.72186","922.8518","1001.9281533333333","992.83466","1017.4086","865.05841","861.29224","867.79736"
"2806","847.8509333333333","737.0752","904.84503","1001.2960666666668","995.7287","1005.7256","874.1698566666668","842.4976","905.094"
"2819","859.6997700000001","743.7779","927.78876","1025.2762866666667","1004.65466","1039.8655","859.5584666666667","851.3792","872.5064"
"2832","862.3704233333333","770.18097","919.823","1017.5854166666667","998.49445","1034.1478","856.5122833333334","840.558","875.47015"
"2845","873.6467366666667","759.92615","955.6166","1010.6866799999999","1002.5939","1022.66974","872.8944166666666","847.46375","886.671"
"2858","873.4514533333335","775.7847","956.12866","1022.5135666666666","1004.1727","1055.1312","871.0704433333334","858.23663","888.5478"
"2871","876.97868","788.18054","932.31586","1015.2029666666667","999.9736","1022.8227","867.5932833333333","856.8133","877.70215"
"2884","876.9783833333335","785.7059","928.6156","1018.0497666666666","1004.4049","1035.2498","873.9825099999999","862.60223","882.5728"
"2897","881.85461","783.2612","954.0671","1034.80391","1019.48083","1058.8666","879.4354","857.6575","918.4414"
"2910","884.8829666666667","799.3396","941.7842","1025.6420666666666","1008.9074","1038.3057","874.8887666666666","871.2691","880.4384"
"2923","881.7619500000001","796.0956","943.06665","1021.9020133333333","1009.5343","1038.8026","886.1764633333332","872.5662","900.98425"
"2936","895.2913","800.15466","954.86084","1036.9396199999999","1017.17676","1050.1836","877.6874633333333","869.9745","884.94714"
