"Step","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegWalkT2A-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2A-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2A-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegWalk-v0 - rollout/ep_rew_mean","env_name: myoLegWalk-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalk-v0 - rollout/ep_rew_mean__MAX"
"271","216.36016333333336","213.31917","220.47978","218.07599499999998","217.40657","218.74542","142.99321","135.94872","149.5298"
"284","222.09642999999997","220.32846","224.66821","224.901025","223.75406","226.04799","150.35545333333334","139.92633","159.54765"
"297","229.37535000000003","227.47145","232.05832","235.60001999999997","234.1674","237.03264","153.69489333333334","148.63493","161.05"
"310","235.02332","232.77458","236.71638","241.70069","240.53085","242.87053","161.55844333333332","151.54858","170.28082"
"323","240.40427","236.5394","243.52531","247.28051","246.88686","247.67416","170.79169333333334","166.16026","175.48415"
"336","247.6963166666667","246.10422","249.8648","253.65661999999998","250.23148","257.08176","176.69419333333335","170.37086","185.53093"
"349","253.08361666666667","250.06367","257.59085","257.47139500000003","255.82999","259.1128","179.61644666666666","177.21776","182.81691"
"362","259.8390733333334","256.29718","264.0966","261.571155","258.86884","264.27347","186.23777333333337","184.60149","189.42383"
"375","264.8792966666667","260.7963","269.42383","267.791665","265.97723","269.6061","192.91527666666664","189.67989","196.80684"
"388","270.4545033333334","269.40604","272.42987","271.21484","269.88998","272.5397","196.86452666666665","195.31462","198.36302"
"401","276.53004000000004","273.63837","279.51163","274.70531","274.267","275.14362","201.64384000000004","199.98956","204.49341"
"414","278.63352333333336","276.18982","282.0133","278.573865","277.2488","279.89893","204.40215666666666","203.39905","205.8505"
"427","283.5120733333333","281.9888","285.50885","285.61150999999995","282.09018","289.13284","210.38957000000002","206.35353","215.37463"
"440","286.82980000000003","285.3311","288.14432","289.05699000000004","285.71902","292.39496","213.82093666666665","210.81493","216.38345"
"453","293.80615000000006","287.6753","296.94635","291.73166000000003","289.78055","293.68277","218.26881333333336","216.70418","220.64178"
"466","296.3699633333333","293.95175","298.36212","293.49983999999995","291.26138","295.7383","222.08009","221.08757","223.194"
"479","301.17540333333335","298.06363","303.01138","297.62796000000003","297.16635","298.08957","227.35760666666667","226.63573","228.45557"
"492","301.9363133333333","296.14142","306.28986","302.62316999999996","300.46936","304.77698","231.13017","228.59875","232.55391"
"505","308.4496966666667","303.57172","311.17462","306.335835","305.72717","306.9445","234.74507666666668","233.1936","237.61072"
"518","313.8941766666667","309.26654","318.59293","309.63629","309.20273","310.06985","239.35942","237.0043","241.00835"
"531","316.4909533333333","313.9168","319.43286","312.876215","310.1502","315.60223","241.88826666666668","240.77556","243.26561"
"544","314.2660733333333","308.99426","319.10376","318.01308","315.82474","320.20142","244.17887","240.92693","248.02556"
"557","320.6074566666667","316.8613","325.6425","319.84398","317.4419","322.24606","249.61363666666668","248.40427","250.78654"
"570","324.45101666666665","322.04382","327.22586","322.56779","320.18918","324.9464","251.74922333333333","251.13138","252.2088"
"583","328.44631","326.25153","330.82916","327.297","326.1656","328.4284","254.00868","253.5617","254.46854"
"596","330.5223433333333","328.0595","333.61673","317.449875","301.20682","333.69293","258.6393","257.0964","259.79385"
"609","334.5914266666667","333.0857","336.31628","325.883265","313.4157","338.35083","260.68577999999997","259.65222","261.71002"
"622","338.15579333333335","334.5888","341.1428","329.828385","319.82687","339.8299","265.38289000000003","264.553","266.00012"
"635","342.98009","341.94354","343.68225","334.4028","327.07834","341.72726","264.23519","261.85577","266.93912"
"648","345.69363999999996","343.6905","348.25797","337.21747","330.83542","343.59952","269.11315999999994","267.23587","270.68085"
"661","350.1683366666666","347.86005","353.4921","341.88851","333.0999","350.67712","271.5841","267.3687","274.5324"
"674","352.9953366666667","348.59354","357.17407","346.536915","340.66425","352.40958","272.87107999999995","269.42374","276.6158"
"687","356.14787666666666","353.11066","359.20303","350.14245","345.8218","354.4631","276.46900666666664","274.62302","278.70627"
"700","359.44368000000003","356.2735","364.94434","354.34468000000004","349.05374","359.63562","279.2691566666667","278.66824","280.17593"
"713","362.74119","360.62262","364.85922","356.44777","350.57822","362.31732","281.9338866666667","278.32742","286.2099"
"726","366.88703333333336","362.88928","372.8985","358.20393","352.40616","364.0017","286.6375766666667","283.39255","290.45398"
"739","369.95432666666665","365.6794","375.60278","362.29346","355.1764","369.41052","288.73426","284.38046","294.25198"
"752","371.8332833333334","366.9264","378.72537","361.709775","357.9829","365.43665","292.21819","289.14905","294.22757"
"765","345.07833666666664","280.68796","382.45483","337.160705","300.87085","373.45056","296.1687233333334","294.2515","298.5835"
"778","370.1163033333333","352.8014","383.02133","350.51005499999997","322.63486","378.38525","296.2939733333333","292.954","298.53586"
"791","372.38073","354.9807","383.65063","356.66229999999996","330.8264","382.4982","301.09752333333336","297.5831","305.00714"
"804","375.69831","360.1392","387.6862","358.903135","334.58167","383.2246","303.5583666666667","295.58047","308.95877"
"817","378.73936000000003","365.27197","390.26764","365.51676499999996","343.0985","387.93503","306.4183033333333","300.71457","312.87216"
"830","382.6908233333333","370.015","392.676","366.2114","342.9358","389.487","311.8251433333333","306.90192","315.02847"
"843","385.79725","374.41382","394.38745","371.47708","354.10028","388.85388","314.87061","309.8293","320.87973"
"856","391.16686333333337","380.38147","402.1428","373.18217000000004","350.87704","395.4873","316.65386","311.35748","319.8295"
"869","393.3","380.81683","405.5843","379.64027","360.40408","398.87646","318.06668999999994","314.68472","322.70865"
"882","394.4884233333334","383.3847","407.30292","381.03444","362.82874","399.24014","325.3792633333333","316.19434","333.85275"
"895","398.69220666666666","387.84097","408.8211","385.1617","366.7026","403.6208","326.56051","320.41013","332.9248"
"908","402.0928833333333","393.02365","412.7396","388.70678499999997","372.55417","404.8594","334.63563","326.47427","342.67914"
"921","404.8499466666667","396.94135","415.04385","390.82342500000004","373.0928","408.55405","336.11449999999996","327.42578","345.89514"
"934","406.67261666666667","396.73956","418.01855","395.58279500000003","379.95374","411.21185","338.89685000000003","328.83307","350.9432"
"947","410.4175533333334","402.3321","420.03976","395.847675","377.82352","413.87183","346.0377433333333","338.25537","353.29526"
"960","414.55276000000003","408.6012","421.74728","400.89421000000004","382.99637","418.79205","346.57471000000004","342.5073","354.52643"
"973","417.20986999999997","411.52936","424.449","401.25698","385.1263","417.38766","354.0572","348.49185","362.58847"
"986","420.42454666666663","415.27472","427.0992","406.47561","390.42932","422.5219","357.41363333333334","349.91043","364.10742"
"999","422.38668","417.93372","427.60675","407.339915","388.9991","425.68073","358.8440633333333","351.04135","371.55078"
"1012","425.98511666666667","422.51727","430.61652","409.57914500000004","392.89886","426.25943","362.8056833333333","356.98334","366.14993"
"1025","429.2725633333334","426.61536","433.643","410.93596","393.13724","428.73468","368.43417","364.07117","375.17044"
"1038","432.8117966666666","428.97745","437.57748","414.97727499999996","397.2965","432.65805","373.5636866666667","364.48108","385.2141"
"1051","434.63853666666665","431.34753","438.47592","415.05832","397.63977","432.47687","382.02591","376.26874","390.59213"
"1064","438.73074333333335","436.94516","441.37442","419.582535","401.25235","437.91272","387.3552","384.74908","391.3767"
"1077","441.96765999999997","441.6826","442.35568","365.86902","327.64722","404.09082","391.77783","383.50522","399.006"
"1090","445.48356999999993","442.77914","447.72864","369.322155","331.04385","407.60046","396.9752833333334","391.3225","404.60315"
"1103","447.5562933333333","446.20938","449.0175","380.370625","351.55215","409.1891","402.8441666666667","395.97223","414.2294"
"1116","451.0755066666666","449.5252","452.86472","382.319025","354.08115","410.5569","408.50303333333335","401.4788","413.24023"
"1129","455.80447000000004","454.1191","458.97424","387.60361","360.32184","414.88538","416.7653","407.55228","431.54196"
"1142","458.9922166666667","456.01715","462.6078","392.312225","368.13492","416.48953","424.32518333333337","417.09653","438.32742"
"1155","455.6889866666667","439.73508","468.71088","400.71396500000003","380.1862","421.24173","424.37852","412.79147","437.06473"
"1168","466.1182733333333","461.13675","473.07452","407.87537499999996","392.1415","423.60925","439.8037733333333","435.53165","446.67947"
"1181","470.7150933333333","463.78943","480.91745","414.29026999999996","402.5781","426.00244","441.30487","432.43356","449.24133"
"1194","474.6921","467.08157","484.1894","419.914525","408.96625","430.8628","449.42634","443.54175","460.11987"
"1207","480.54649666666666","469.6275","495.48672","423.38754500000005","413.20337","433.57172","448.93056666666666","442.7469","458.1582"
"1220","485.40136666666666","472.21793","500.89047","437.99741","437.7935","438.20132","457.78678999999994","450.5537","467.92157"
"1233","493.21007333333336","475.87808","515.53516","441.78744","441.61768","441.9572","465.2798566666666","455.65024","480.24426"
"1246","498.11698333333334","475.83096","524.77985","444.624285","443.55063","445.69794","468.28927999999996","464.8304","472.1914"
"1259","511.42922999999996","478.53522","558.42474","417.28511","388.4899","446.08032","476.8434533333334","467.01346","485.62646"
"1272","513.5475366666666","483.20023","554.017","423.77297999999996","400.35852","447.18744","485.44713333333334","475.18265","495.91803"
"1285","528.7392533333333","486.0016","587.54926","432.43632","412.0736","452.79904","490.69716666666665","487.5319","495.9919"
"1298","534.12988","487.73767","599.27527","435.17517499999997","416.1002","454.25015","496.9316666666666","488.22177","511.28583"
"1311","546.6132666666666","490.3475","624.4878","444.51779999999997","429.0275","460.0081","501.68938333333335","485.01694","515.91284"
"1324","552.9712533333333","495.23306","630.5267","448.36332500000003","434.50635","462.2203","512.41161","511.53583","513.2306"
"1337","563.7911066666667","496.91388","657.6896","451.06055000000003","438.7011","463.42","514.2599666666666","508.95187","522.0769"
"1350","576.7065133333334","499.7707","681.8724","455.10846000000004","443.17422","467.0427","520.4422533333333","518.2331","523.06036"
"1363","584.73519","505.67108","688.81995","458.20128","446.03256","470.37","525.3981133333333","522.6185","529.8154"
"1376","593.7485433333333","506.98123","704.6513","459.08107","447.46066","470.70148","531.3647466666667","530.16974","533.3706"
"1389","601.6922000000001","512.2222","710.6707","465.5845","455.70953","475.45947","537.6278866666667","526.5913","544.23096"
"1402","620.8286333333333","514.3044","750.3358","465.90863","455.25128","476.56598","543.5016833333334","536.746","553.43475"
"1415","628.6443033333334","517.61597","763.7036","471.20133","461.611","480.79166","552.12387","549.3923","555.18524"
"1428","640.5092733333335","525.62775","770.46277","473.78824","464.67615","482.90033","556.8941533333334","554.58936","560.2544"
"1441","652.9650499999999","530.43665","799.7613","472.22360000000003","471.7967","472.6505","560.57723","545.716","574.19934"
"1454","666.32279","531.6526","800.71747","452.48122","430.37772","474.58472","573.56348","563.73334","582.1557"
"1467","677.5878833333333","537.12695","829.4154","439.39257499999997","402.38043","476.40472","572.3334833333333","568.719","576.2054"
"1480","690.7157666666667","543.4266","828.369","468.93521","456.49106","481.37936","579.9221699999999","570.5267","586.33014"
"1493","703.0890333333333","550.29065","851.68475","471.28453","457.73746","484.8316","586.0503866666667","577.7018","592.4178"
"1506","707.76589","553.2348","855.37177","477.64862","465.0697","490.22754","592.6652533333333","577.57086","606.8524"
"1519","722.7251533333333","558.5668","866.4139","482.8349","471.32776","494.34204","603.3147133333333","590.62634","616.7294"
"1532","742.7497333333332","565.3828","894.9746","485.4638","475.8181","495.1095","600.1746833333333","591.06464","610.14667"
"1545","747.4852","573.7781","884.4418","492.927685","482.38464","503.47073","609.5162666666666","599.7866","628.9486"
"1558","761.4708066666667","578.21686","926.172","495.28255","485.12726","505.43784","620.92327","604.09674","631.5806"
"1571","760.5017066666668","580.1552","911.86847","497.09535","485.0668","509.1239","625.3518866666667","609.3436","637.3818"
"1584","772.07055","589.8951","926.64795","504.07595000000003","493.55","514.6019","628.0572","610.4848","642.7647"
"1597","784.1289466666667","594.0996","937.09534","507.39098","496.1796","518.60236","629.69377","615.2411","640.57666"
"1610","793.3385866666667","600.50586","955.7068","512.79325","503.3518","522.2347","632.3471","611.3743","645.20966"
"1623","804.1054","607.77124","962.65546","515.48881","502.32712","528.6505","647.94332","633.66565","656.72107"
"1636","810.09987","615.96924","961.0092","519.496285","507.39017","531.6024","651.9087633333334","625.14044","672.8281"
"1649","827.8958200000001","628.58826","989.3085","523.52067","508.82404","538.2173","665.92285","639.4403","684.71875"
"1662","830.6133333333333","633.5684","988.49664","525.36997","510.90164","539.8383","660.4723766666667","639.9346","677.2531"
"1675","858.2991166666667","647.45325","1037.0001","530.6344799999999","516.4271","544.84186","670.6692133333332","649.7588","688.97894"
"1688","856.7810466666666","659.9432","1025.9061","536.7138500000001","524.7213","548.7064","681.5637833333333","650.4014","700.61975"
"1701","871.9013333333334","668.5211","1041.1917","541.2547","530.44965","552.05975","684.0760299999998","663.99036","694.3927"
"1714","889.85568","683.4447","1064.7189","545.07043","531.62006","558.5208","687.9452666666666","659.2327","709.4186"
"1727","898.9013","690.1835","1072.5436","551.4176","535.3921","567.4431","695.2909666666666","661.50275","712.29095"
"1740","901.3991333333333","701.53125","1065.2046","558.6049499999999","543.17017","574.03973","696.6011866666668","656.6192","718.3649"
"1753","915.0429666666665","714.5907","1086.0946","566.120375","550.38055","581.8602","694.2731","668.34546","715.1274"
"1766","930.2370166666666","725.661","1100.573","569.5111999999999","551.02014","588.00226","707.2818833333334","687.4722","721.0709"
"1779","940.7292899999999","736.4235","1110.2098","574.35845","553.7086","595.0083","705.40648","669.79584","730.3721"
"1792","956.1507633333334","743.70825","1123.9175","586.56243","564.158","608.96686","712.3947666666667","690.4276","723.9887"
"1805","961.3041433333334","766.308","1114.3031","594.20835","572.2483","616.1684","720.7747733333332","685.01227","745.9683"
"1818","955.4728333333334","784.9915","1069.027","603.5313249999999","577.03595","630.0267","727.2815366666665","704.3974","740.34827"
"1831","981.1317333333333","799.1286","1108.8896","611.3404499999999","578.2706","644.4103","720.6145200000001","687.58026","740.4671"
"1844","989.3202666666666","801.1763","1105.628","613.0263199999999","582.92334","643.1293","739.1140966666666","711.86115","759.8764"
"1857","1003.4055999999999","818.1644","1129.966","630.94335","597.066","664.8207","746.1412166666665","727.52875","756.4432"
"1870","1021.3818","842.6782","1155.6443","643.97677","603.10474","684.8488","742.7830833333334","708.97845","769.1563"
"1883","1033.6390000000001","851.9682","1160.8218","657.31398","602.64056","711.9874","743.5764566666667","712.7035","761.4027"
"1896","1039.1666","860.1408","1162.5697","664.08528","615.1315","713.03906","743.5163833333332","718.6951","756.26355"
"1909","1037.1233133333333","881.57794","1142.6217","671.24765","620.0618","722.4335","758.1262133333333","726.99524","780.469"
"1922","1051.1907333333331","888.7625","1159.8389","686.659945","628.49445","744.82544","767.4117333333334","737.74316","788.38434"
"1935","1063.5569666666668","902.9756","1164.2623","682.6496500000001","630.2288","735.0705","772.7064833333334","748.20825","801.1527"
"1948","1076.7722333333334","922.8128","1186.1348","707.54513","647.9735","767.11676","769.17188","759.7324","783.56104"
"1961","1086.4601666666667","937.5751","1195.9095","707.822935","650.17114","765.47473","781.9230299999999","760.86993","797.5468"
"1974","1089.4958666666666","943.8114","1181.7992","725.945","657.9178","793.9722","781.5886899999999","755.7456","794.7842"
"1987","1099.94588","961.15564","1173.6868","743.8709","675.1921","812.5497","791.3535999999999","767.2324","804.0843"
"2000","1101.6411666666665","975.8197","1188.1554","754.9219","685.1683","824.6755","790.8808233333334","757.2694","810.96747"
"2013","1109.3338333333334","975.062","1197.9678","756.598625","686.4987","826.69855","794.5662466666668","774.5538","811.15234"
"2026","1122.3478499999999","1008.32245","1207.2911","773.4955749999999","689.2912","857.69995","798.6038166666667","778.3826","816.69635"
"2039","1135.7213000000002","1030.6301","1213.8999","786.14145","702.9082","869.3747","805.8142333333334","790.0732","820.6716"
"2052","1145.4651666666666","1035.876","1231.416","794.83542","718.85077","870.82007","809.9356766666666","783.1672","834.7229"
"2065","1165.1230666666665","1060.8446","1228.9161","810.2633000000001","722.5707","897.9559","814.9939733333334","786.14667","839.2484"
"2078","1159.0923","1056.5198","1237.387","813.9902","735.7646","892.2158","819.4997666666668","789.9666","835.5632"
"2091","1183.7709666666667","1090.5685","1251.3025","818.26397","738.85254","897.6754","824.2388933333333","803.8014","851.84143"
"2104","1177.8510999999999","1111.8011","1236.8307","839.3296700000001","751.3726","927.28674","830.19531","797.05743","865.13214"
"2117","1187.7394666666669","1108.2695","1240.5533","840.99727","762.6279","919.36664","834.09298","814.43744","850.8214"
"2130","1198.4334333333334","1146.7405","1251.692","851.03937","764.3183","937.76044","836.6980233333334","813.17267","860.7899"
"2143","1223.9394333333332","1181.8363","1260.5114","863.364925","786.63635","940.0935","838.2427033333333","806.2629","876.07166"
"2156","1218.2631333333331","1152.456","1252.638","876.4765","787.7474","965.2056","834.9866166666667","810.31195","850.1225"
"2169","1236.8921333333335","1180.273","1295.6339","879.72987","791.2524","968.20734","839.9043466666667","816.8286","869.3549"
"2182","1227.7997333333333","1170.0541","1282.7743","903.14355","809.8306","996.4565","851.7886766666667","833.48346","866.46674"
"2195","1243.7597333333333","1214.6492","1284.2107","898.941895","805.06055","992.82324","861.5189","839.7611","888.7041"
"2208","1249.0132999999998","1218.3582","1281.6404","907.9276500000001","817.8554","997.9999","852.7938333333333","839.86926","871.12024"
"2221","1278.2829666666667","1249.6277","1300.1553","912.1673","826.8675","997.4671","864.2701333333334","838.5828","889.9311"
"2234","1258.6088","1215.1824","1309.4346","927.24278","837.14606","1017.3395","875.09792","859.723","896.94916"
"2247","1272.7511","1238.1821","1310.3582","931.1434750000001","838.8373","1023.44965","871.5156999999999","854.9397","883.4199"
"2260","1279.1629","1260.8904","1310.0619","946.0266","848.3669","1043.6863","870.6286100000001","857.8558","881.33453"
"2273","1269.7008333333333","1235.7698","1288.6586","963.056775","865.20905","1060.9045","884.0056333333333","873.5667","901.05756"
"2286","1300.1003333333333","1259.8579","1326.2937","967.7699499999999","870.0395","1065.5004","881.71564","865.14307","894.1883"
"2299","1297.3597666666667","1273.5746","1321.9567","980.5162","879.1905","1081.8419","891.0347333333334","870.98224","922.92426"
"2312","1304.5674666666666","1273.7478","1341.2086","991.9056","883.4118","1100.3994","883.3353900000001","865.95966","902.06177"
"2325","1311.0012","1283.7134","1350.1232","989.4547499999999","902.9925","1075.917","883.7836533333334","859.3935","902.23236"
"2338","1316.1951333333334","1292.9023","1329.3885","1011.03255","897.2299","1124.8352","899.3588800000001","875.388","924.06604"
"2351","1306.9967","1278.9923","1336.682","1017.69995","908.1924","1127.2075","896.5988833333334","885.224","913.43555"
"2364","1330.6465333333333","1325.8751","1337.4749","1044.29785","922.8085","1165.7872","897.82101","874.522","921.8529"
"2377","1340.6532","1294.3516","1397.7848","1042.65615","917.7898","1167.5225","916.5373533333333","897.7449","927.50806"
"2390","1340.9421333333332","1317.3324","1357.0033","1051.0652","938.0729","1164.0575","911.5905666666667","903.45","927.3541"
"2403","1357.2386333333332","1327.1562","1385.8818","1064.72365","943.1079","1186.3394","915.6506866666665","901.5677","940.9446"
"2416","1348.9307","1333.2108","1377.6244","1069.13125","945.6336","1192.6289","924.8939133333333","912.0352","940.06854"
"2429","1354.6904","1320.5499","1375.4406","1066.9574149999999","952.95703","1180.9578","929.9297533333333","897.9923","962.32416"
"2442","1370.9769","1344.7413","1391.9314","1073.0320000000002","960.8505","1185.2135","931.3534999999998","910.36536","948.38434"
"2455","1357.9316666666666","1333.1073","1381.9392","1098.0167299999998","991.65356","1204.3799","929.1360533333333","903.9879","954.80316"
"2468","1381.0833666666667","1365.255","1389.4507","1105.7691","1008.3662","1203.172","948.0961466666668","936.9793","967.80524"
"2481","1386.2362333333333","1370.3234","1402.3315","1125.6351","1007.2504","1244.0198","938.4340566666666","928.97107","955.8268"
"2494","1405.8323333333335","1378.6993","1427.1045","1112.89457","1007.40094","1218.3882","942.4481666666667","915.7267","976.3954"
"2507","1390.5745","1375.5072","1402.8617","1133.9546500000001","1045.3558","1222.5535","947.2274333333335","932.6729","969.8973"
"2520","1390.3401999999999","1372.808","1414.4236","1130.5055","1032.6154","1228.3956","947.5315166666666","931.93005","963.4516"
"2533","1423.9111","1395.8701","1443.4341","1140.89415","1064.9733","1216.815","951.1435833333334","933.84735","974.1001"
"2546","1381.4615666666666","1363.1477","1401.9695","1156.8942499999998","1059.071","1254.7175","948.2891666666666","939.1498","955.8674"
"2559","1443.5289666666667","1402.1807","1468.0638","1155.76665","1066.0055","1245.5278","953.1354200000001","934.6495","968.6588"
"2572","1413.5496333333333","1383.8036","1434.1222","1171.3384","1082.1985","1260.4783","948.6312900000001","941.76697","960.1642"
"2585","1425.8018999999997","1392.2937","1462.9241","1164.69705","1066.2845","1263.1096","958.3066333333333","943.0334","986.9296"
"2598","1442.170033333333","1418.3672","1456.9265","1170.6237","1063.0243","1278.2231","965.0923033333333","940.59076","995.69275"
"2611","1423.5294333333334","1407.9653","1452.8895","1165.59775","1069.9241","1261.2714","970.6037533333333","952.3199","997.21606"
"2624","1447.3361666666667","1415.1731","1468.1232","1185.97845","1091.4104","1280.5465","970.6987166666668","955.48865","992.1331"
"2637","1445.0356666666667","1441.2471","1451.7379","1197.36845","1103.46","1291.2769","977.1304133333333","961.95746","999.42664"
"2650","1465.1731333333335","1450.9896","1482.319","1190.597","1102.2766","1278.9174","976.9617866666667","968.25","989.7512"
"2663","1489.5165333333334","1457.999","1511.1042","1206.8191499999998","1114.3845","1299.2538","988.8858666666666","966.1964","1004.6255"
"2676","1474.2507666666668","1444.9479","1501.5195","1201.3066","1105.4028","1297.2104","985.3224233333334","973.74133","1007.903"
"2689","1507.2516333333333","1487.2545","1532.1587","1198.7285000000002","1122.6844","1274.7726","1001.5886866666666","983.34863","1031.7104"
"2702","1466.1707666666669","1434.697","1493.8967","1208.36645","1129.4774","1287.2555","1004.2164666666666","995.8195","1014.1653"
"2715","1504.1267","1477.3296","1544.2312","1210.95785","1121.4083","1300.5074","997.1646166666666","984.14075","1011.5816"
"2728","1498.6926999999998","1470.7285","1532.3472","1213.1015499999999","1133.5575","1292.6456","1002.5304566666667","990.05493","1021.40594"
"2741","1479.3436333333332","1437.4761","1519.8025","1220.0924","1132.9714","1307.2134","1001.1735466666665","983.328","1024.4828"
"2754","1449.9394999999997","1447.5831","1453.8885","1236.8117","1156.5038","1317.1196","1001.6738799999999","990.42834","1013.0338"
"2767","1527.9505666666666","1510.4536","1546.2738","1227.65395","1156.0662","1299.2417","1008.58373","995.55884","1022.34955"
"2780","1521.5857333333333","1486.4777","1562.2429","1229.8386500000001","1125.133","1334.5443","1004.35703","984.66785","1033.6995"
"2793","1514.9918666666665","1488.7507","1561.5232","1230.5203999999999","1122.6061","1338.4347","1021.0930199999999","1005.9954","1034.3013"
"2806","1481.2818","1458.2405","1512.2113","1246.9548","1160.893","1333.0166","1021.5445866666665","1015.8639","1025.8536"
"2819","1564.9175666666667","1515.3799","1600.5154","1253.54495","1158.735","1348.3549","1023.2406133333334","1012.00934","1036.6477"
"2832","1520.6175","1455.9307","1563.491","1257.1595499999999","1167.6985","1346.6206","1019.8260533333333","1010.19086","1027.7771"
"2845","1566.6352666666664","1514.4059","1638.3278","1238.66695","1151.5487","1325.7852","1029.2635666666667","1017.8152","1047.8568"
"2858","1552.8012333333334","1520.9846","1573.1339","1246.8291","1128.0331","1365.6251","1023.0136666666667","1018.3263","1031.643"
"2871","1534.3455999999999","1512.992","1574.3262","1265.67175","1174.3236","1357.0199","1036.1313333333335","1017.7959","1047.6337"
"2884","1562.5376999999999","1533.1615","1598.8807","1254.58795","1154.7362","1354.4397","1036.4474666666667","1024.3835","1046.1459"
"2897","1556.8012999999999","1537.1913","1593.9138","1289.729","1197.678","1381.78","1035.6372","1015.5869","1049.3652"
"2910","1556.6182333333334","1519.946","1590.4417","1257.05405","1173.7365","1340.3716","1034.9679333333333","1023.3893","1053.3059"
"2923","1588.0605333333333","1564.8612","1602.7238","1258.5482499999998","1163.8608","1353.2357","1043.4464","1027.1227","1068.3251"
"2936","1599.4292666666668","1556.6819","1628.7498","1258.35925","1154.9329","1361.7856","1041.4021","1035.5416","1052.8438"
"2949","1611.1569","1596.2693","1629.0173","1273.8656500000002","1184.1855","1363.5458","1048.8069333333333","1044.3673","1055.7343"
"2962","1590.1141","1565.2637","1620.4136","1287.5394000000001","1194.7257","1380.3531","1045.0024","1024.7559","1068.817"
"2975","1604.4633666666668","1583.1581","1620.4545","1289.3763","1196.7408","1382.0118","1043.8381333333334","1032.4401","1061.6237"
"2988","1609.1823333333334","1585.4452","1626.3553","1289.14525","1201.4166","1376.8739","1052.2132666666666","1040.3578","1068.6193"
"3001","1651.3054","1620.112","1693.9694","1289.92975","1189.6255","1390.234","1055.2774333333334","1039.7366","1077.5563"
"3014","1645.003633333333","1596.9319","1704.972","1307.58755","1205.4585","1409.7166","1050.7516666666668","1036.2156","1067.0737"
"3027","1651.5277666666668","1621.9481","1678.1805","1315.9211","1199.4695","1432.3727","1057.7832333333333","1043.8282","1069.0575"
